Consumer created
Producer created
P:: item = 0, full = 0, empty = 4
P:: item = 1, full = 1, empty = 3
P:: item = 2, full = 2, empty = 2
P:: item = 3, full = 3, empty = 1
P:: item = 4, full = 4, empty = 0
C:: item = 0, full = 4, empty = 0
C:: item = 1, full = 3, empty = 1
C:: item = 2, full = 2, empty = 2
C:: item = 3, full = 1, empty = 3
C:: item = 4, full = 0, empty = 4
P:: item = 5, full = 0, empty = 4
P:: item = 6, full = 1, empty = 3
P:: item = 7, full = 2, empty = 2
P:: item = 8, full = 3, empty = 1
P:: item = 9, full = 4, empty = 0
C:: item = 5, full = 4, empty = 0
C:: item = 6, full = 3, empty = 1
C:: item = 7, full = 2, empty = 2
C:: item = 8, full = 1, empty = 3
C:: item = 9, full = 0, empty = 4
P:: item = 10, full = 0, empty = 4
P:: item = 11, full = 1, empty = 3
P:: item = 12, full = 2, empty = 2
P:: item = 13, full = 3, empty = 1
P:: item = 14, full = 4, empty = 0
C:: item = 10, full = 4, empty = 0
C:: item = 11, full = 3, empty = 1
C:: item = 12, full = 2, empty = 2
C:: item = 13, full = 1, empty = 3
C:: item = 14, full = 0, empty = 3
P:: item = 15, full = 0, empty = 4
P:: item = 16, full = 1, empty = 3
P:: item = 17, full = 2, empty = 2
P:: item = 18, full = 3, empty = 1
P:: item = 19, full = 4, empty = 0
C:: item = 15, full = 4, empty = 0
C:: item = 16, full = 3, empty = 1
C:: item = 17, full = 2, empty = 2
C:: item = 18, full = 1, empty = 3
C:: item = 19, full = 0, empty = 4
P:: item = 20, full = 0, empty = 4
P:: item = 21, full = 1, empty = 3
P:: item = 22, full = 2, empty = 2
P:: item = 23, full = 3, empty = 1
C:: item = 20, full = 3, empty = 1
P:: item = 24, full = 3, empty = 0
C:: item = 21, full = 3, empty = 1
C:: item = 22, full = 2, empty = 2
P:: item = 25, full = 2, empty = 2
P:: item = 26, full = 3, empty = 1
C:: item = 23, full = 2, empty = 1
C:: item = 24, full = 1, empty = 2
C:: item = 25, full = 0, empty = 3
P:: item = 27, full = 1, empty = 2
C:: item = 26, full = 0, empty = 3
C:: item = 27, full = 0, empty = 4
P:: item = 28, full = 0, empty = 4
C:: item = 28, full = 0, empty = 4
P:: item = 29, full = 0, empty = 4
P:: item = 30, full = 1, empty = 3
P:: item = 31, full = 2, empty = 2
P:: item = 32, full = 3, empty = 1
P:: item = 33, full = 4, empty = 0
C:: item = 29, full = 4, empty = 0
C:: item = 30, full = 3, empty = 1
C:: item = 31, full = 2, empty = 2
C:: item = 32, full = 1, empty = 3
C:: item = 33, full = 0, empty = 4
P:: item = 34, full = 0, empty = 4
P:: item = 35, full = 1, empty = 3
P:: item = 36, full = 2, empty = 2
P:: item = 37, full = 3, empty = 1
P:: item = 38, full = 4, empty = 0
C:: item = 34, full = 4, empty = 0
C:: item = 35, full = 3, empty = 1
C:: item = 36, full = 2, empty = 2
C:: item = 37, full = 1, empty = 3
C:: item = 38, full = 0, empty = 4
P:: item = 39, full = 0, empty = 4
P:: item = 40, full = 1, empty = 3
P:: item = 41, full = 2, empty = 2
P:: item = 42, full = 3, empty = 1
P:: item = 43, full = 4, empty = 0
C:: item = 39, full = 4, empty = 0
C:: item = 40, full = 3, empty = 1
C:: item = 41, full = 2, empty = 2
C:: item = 42, full = 1, empty = 3
C:: item = 43, full = 0, empty = 4
P:: item = 44, full = 0, empty = 4
P:: item = 45, full = 1, empty = 3
P:: item = 46, full = 2, empty = 2
P:: item = 47, full = 3, empty = 1
P:: item = 48, full = 4, empty = 0
C:: item = 44, full = 4, empty = 0
C:: item = 45, full = 3, empty = 1
C:: item = 46, full = 2, empty = 2
C:: item = 47, full = 1, empty = 3
C:: item = 48, full = 0, empty = 4
P:: item = 49, full = 0, empty = 4
C:: item = 49, full = 0, empty = 4
P:: item = 50, full = 0, empty = 4
P:: item = 51, full = 1, empty = 3
P:: item = 52, full = 2, empty = 2
P:: item = 53, full = 2, empty = 1
P:: item = 54, full = 3, empty = 0
C:: item = 50, full = 4, empty = 0
C:: item = 51, full = 3, empty = 1
C:: item = 52, full = 2, empty = 2
C:: item = 53, full = 1, empty = 3
C:: item = 54, full = 0, empty = 4
P:: item = 55, full = 0, empty = 4
P:: item = 56, full = 1, empty = 3
P:: item = 57, full = 2, empty = 2
P:: item = 58, full = 3, empty = 1
P:: item = 59, full = 4, empty = 0
C:: item = 55, full = 4, empty = 0
C:: item = 56, full = 3, empty = 1
C:: item = 57, full = 2, empty = 2
C:: item = 58, full = 1, empty = 3
C:: item = 59, full = 0, empty = 4
P:: item = 60, full = 0, empty = 4
P:: item = 61, full = 1, empty = 3
P:: item = 62, full = 2, empty = 2
P:: item = 63, full = 3, empty = 1
P:: item = 64, full = 4, empty = 0
C:: item = 60, full = 4, empty = 0
P:: item = 65, full = 4, empty = 0
C:: item = 61, full = 4, empty = 0
C:: item = 62, full = 3, empty = 1
C:: item = 63, full = 2, empty = 2
P:: item = 66, full = 2, empty = 2
C:: item = 64, full = 1, empty = 2
C:: item = 65, full = 1, empty = 2
C:: item = 66, full = 0, empty = 3
P:: item = 67, full = 0, empty = 4
P:: item = 68, full = 1, empty = 3
P:: item = 69, full = 2, empty = 2
P:: item = 70, full = 3, empty = 1
P:: item = 71, full = 4, empty = 0
C:: item = 67, full = 4, empty = 0
C:: item = 68, full = 3, empty = 1
C:: item = 69, full = 2, empty = 2
C:: item = 70, full = 1, empty = 3
C:: item = 71, full = 0, empty = 4
P:: item = 72, full = 0, empty = 4
P:: item = 73, full = 1, empty = 3
P:: item = 74, full = 2, empty = 2
P:: item = 75, full = 3, empty = 1
P:: item = 76, full = 4, empty = 0
C:: item = 72, full = 4, empty = 0
C:: item = 73, full = 3, empty = 1
C:: item = 74, full = 2, empty = 2
C:: item = 75, full = 1, empty = 3
C:: item = 76, full = 0, empty = 4
P:: item = 77, full = 0, empty = 4
P:: item = 78, full = 1, empty = 3
P:: item = 79, full = 2, empty = 2
P:: item = 80, full = 3, empty = 1
P:: item = 81, full = 4, empty = 0
C:: item = 77, full = 4, empty = 0
C:: item = 78, full = 3, empty = 1
C:: item = 79, full = 2, empty = 1
C:: item = 80, full = 1, empty = 2
C:: item = 81, full = 0, empty = 3
P:: item = 82, full = 0, empty = 4
P:: item = 83, full = 1, empty = 3
P:: item = 84, full = 2, empty = 2
P:: item = 85, full = 3, empty = 1
C:: item = 82, full = 3, empty = 1
C:: item = 83, full = 2, empty = 2
P:: item = 86, full = 2, empty = 1
P:: item = 87, full = 3, empty = 0
P:: item = 88, full = 4, empty = 0
C:: item = 84, full = 4, empty = 0
P:: item = 89, full = 4, empty = 0
C:: item = 85, full = 4, empty = 0
C:: item = 86, full = 3, empty = 1
C:: item = 87, full = 2, empty = 2
C:: item = 88, full = 1, empty = 3
